matiere,regime,masse_debut_croissance,masse_fin_croissance,gain_de_masse,duree_j,gain_moyen,gmq
Borassus,BA 0.25,171,202,31,42,,0.74
Borassus,BA 0.25,188,218,30,42,,0.71
Borassus,BA 0.25,189,219,30,42,,0.71
Borassus,BA 0.25,190,233,43,42,,1.02
Borassus,BA 0.25,191,234,43,42,,1.02
Borassus,BA 0.25,203,238,35,42,,0.83
Borassus,BA 0.25,204,242,38,42,,0.90
Borassus,BA 0.25,212,246,34,42,,0.81
Borassus,BA 0.25,226,260,34,42,,0.81
Borassus,BA 0.25,235,278,43,42,36.1,1.02
Borassus,BA 0.5,180,194,14,42,,0.33
Borassus,BA 0.5,185,197,12,42,,0.29
Borassus,BA 0.5,186,218,32,42,,0.76
Borassus,BA 0.5,187,219,32,42,,0.76
Borassus,BA 0.5,188,221,33,42,,0.79
Borassus,BA 0.5,189,242,53,42,,1.26
Borassus,BA 0.5,191,247,56,42,,1.33
Borassus,BA 0.5,193,247,54,42,,1.29
Borassus,BA 0.5,198,248,50,42,,1.19
Borassus,BA 0.5,207,254,47,42,38.3,1.12
Borassus,BA 0.75,164,168,4,42,,0.10
Borassus,BA 0.75,167,179,12,42,,0.29
Borassus,BA 0.75,171,191,20,42,,0.48
Borassus,BA 0.75,183,221,38,42,,0.90
Borassus,BA 0.75,187,222,35,42,,0.83
Borassus,BA 0.75,187,223,36,42,,0.86
Borassus,BA 0.75,189,236,47,42,,1.12
Borassus,BA 0.75,201,248,47,42,,1.12
Borassus,BA 0.75,218,249,31,42,,0.74
Borassus,BA 0.75,222,250,28,42,29.8,0.67
Borassus,BA 1,174,205,31,42,,0.74
Borassus,BA 1,180,206,26,42,,0.62
Borassus,BA 1,182,217,35,42,,0.83
Borassus,BA 1,188,219,31,42,,0.74
Borassus,BA 1,189,222,33,42,,0.79
Borassus,BA 1,189,239,50,42,,1.19
Borassus,BA 1,190,245,55,42,,1.31
Borassus,BA 1,194,246,52,42,,1.24
Borassus,BA 1,206,248,42,42,,1.00
Borassus,BA 1,225,258,33,42,38.8,0.79
Borassus,BA 2.5,161,177,16,42,,0.38
Borassus,BA 2.5,172,209,37,42,,0.88
Borassus,BA 2.5,175,211,36,42,,0.86
Borassus,BA 2.5,181,211,30,42,,0.71
Borassus,BA 2.5,188,214,26,42,,0.62
Borassus,BA 2.5,197,236,39,42,,0.93
Borassus,BA 2.5,201,245,44,42,,1.05
Borassus,BA 2.5,204,247,43,42,,1.02
Borassus,BA 2.5,216,253,37,42,,0.88
Borassus,BA 2.5,220,278,58,42,36.6,1.38
Borassus,BA 5,170,185,15,42,,0.36
Borassus,BA 5,174,189,15,42,,0.36
Borassus,BA 5,174,193,19,42,,0.45
Borassus,BA 5,177,196,19,42,,0.45
Borassus,BA 5,179,197,18,42,,0.43
Borassus,BA 5,194,211,17,42,,0.40
Borassus,BA 5,195,212,17,42,,0.40
Borassus,BA 5,202,213,11,42,,0.26
Borassus,BA 5,206,225,19,42,,0.45
Borassus,BA 5,211,235,24,42,17.4,0.57
Borassus,BA 7.5,161,200,39,42,,0.93
Borassus,BA 7.5,178,200,22,42,,0.52
Borassus,BA 7.5,178,203,25,42,,0.60
Borassus,BA 7.5,188,208,20,42,,0.48
Borassus,BA 7.5,192,212,20,42,,0.48
Borassus,BA 7.5,200,226,26,42,,0.62
Borassus,BA 7.5,203,232,29,42,,0.69
Borassus,BA 7.5,211,249,38,42,,0.90
Borassus,BA 7.5,221,255,34,42,,0.81
Borassus,BA 7.5,222,292,70,42,32.3,1.67
Borassus,BA 10,177,190,13,42,,0.31
Borassus,BA 10,179,196,17,42,,0.40
Borassus,BA 10,179,209,30,42,,0.71
Borassus,BA 10,180,216,36,42,,0.86
Borassus,BA 10,185,220,35,42,,0.83
Borassus,BA 10,199,220,21,42,,0.50
Borassus,BA 10,209,223,14,42,,0.33
Borassus,BA 10,214,229,15,42,,0.36
Borassus,BA 10,227,278,51,42,,1.21
Borassus,BA 10,237,289,52,42,28.4,1.24
mais jaune,YC,175,187,12,42,,0.29
mais jaune,YC,183,196,13,42,,0.31
mais jaune,YC,188,197,9,42,,0.21
mais jaune,YC,190,211,21,42,,0.50
mais jaune,YC,195,213,18,42,,0.43
mais jaune,YC,195,214,19,42,,0.45
mais jaune,YC,208,225,17,42,,0.40
mais jaune,YC,210,237,27,42,,0.64
mais jaune,YC,214,240,26,42,,0.62
mais jaune,YC,223,265,42,42,20.4,1.00
mais blanc,WC,182,184,2,42,,0.05
mais blanc,WC,183,203,20,42,,0.48
mais blanc,WC,185,208,23,42,,0.55
mais blanc,WC,186,213,27,42,,0.64
mais blanc,WC,193,217,24,42,,0.57
mais blanc,WC,204,219,15,42,,0.36
mais blanc,WC,209,227,18,42,,0.43
mais blanc,WC,209,238,29,42,,0.69
mais blanc,WC,215,245,30,42,,0.71
mais blanc,WC,217,246,29,42,21.7,0.69
