seance,regime,no_oeuf,masse_oeuf,masse_coq,epaisseur_coq,masse_du_jaune,masse_du_blanc,l_int_coq,a_int_coq,b_int_coq,l_jaune,a_jaune,b_jaune,abs_prot,prot_tot,chol_tot,lip_tot
seance 1,"Ba 0,25",1,10.762,1.187,0.24,3.479,6.096,85.99,-3.42,13.36,66.7,-9.6,35.32,,2.48,0.06,56.4
seance 1,"Ba 0,25",2,10.807,1.313,0.21,3.451,6.043,85.16,-3.78,13.84,70.99,-8.18,37.99,,1.22,0.07,52.4
seance 1,"Ba 0,25",3,10.65,1.431,0.23,3.346,5.873,85.92,-2.6,11.83,67.49,-9.74,40.56,,1.61,0.05,68.4
seance 1,"Ba 0,50",1,10.268,1.317,0.24,3.177,5.774,86.95,-2.7,13.04,72.99,-7.89,40.43,,1.45,0.04,70.2
seance 1,"Ba 0,50",2,10.368,1.176,0.24,3.353,5.839,82.22,-9.1,13.6,64.91,-8.4,37.45,,1.01,0.01,70.2
seance 1,"Ba 0,50",3,10.62,1.463,0.2,3.528,5.629,78.7,-12.13,14.88,69.75,-8.46,43.18,,1.77,0.06,57.2
seance 1,"Ba 0,75",1,11.214,1.107,0.31,3.427,6.68,88.45,-2.41,12.07,53.51,-9.1,28.7,,1.61,0.07,68
seance 1,"Ba 0,75",2,11.849,1.054,0.2,3.798,6.997,87.17,-2.85,12.68,72.12,-7.69,37.87,,2.73,0.18,46.6
seance 1,"Ba 0,75",3,11.532,1.081,0.255,3.613,6.839,6.839,-2.63,12.375,62.815,-8.395,33.285,,1.93,0.08,
seance 1,Ba 1,1,12.53,1.38,0.26,4.808,6.342,87.4,-2.56,12.42,68.07,-9.14,37.39,,1.72,0.12,66.4
seance 1,Ba 1,2,10.76,1.283,0.24,3.402,6.075,88.21,-7.88,12.13,70.7,-8.67,32.53,,2.09,0.004,56.8
seance 1,Ba 1,3,10.298,1.126,0.23,3.206,5.966,81.53,-4.87,17.85,64.84,-6.97,49.61,,2.32,0.08,70.4
seance 1,"Ba 2,5",1,10.779,1.129,0.31,3.623,6.027,86.58,-2.8,15.1,64.19,-8.27,41.27,,2.16,0.01,60.6
seance 1,"Ba 2,5",2,10.993,1.053,0.18,3.733,6.207,85.78,-3.24,15.93,67.61,-9.02,33.72,,1.93,0.15,60.6
seance 1,"Ba 2,5",3,10.885,1.263,0.19,4.103,5.519,80.94,-8.9,17.25,70.54,-7.32,40.03,,2.16,0.1,70.4
seance 1,Ba 5,1,10.772,1.263,0.23,3.489,6.02,85.82,-4,15,71.16,-8.06,37.73,,1.93,0.23,80.8
seance 1,Ba 5,2,10.462,1.288,0.22,3.403,5.771,85.51,-4.04,15.06,67.68,-6.77,36.27,,2.09,0.17,80.5
seance 1,Ba 5,3,8.89,1.214,0.26,3.049,4.627,84.71,-3.26,15.63,66.8,-9.55,43.75,,2.48,0.15,74.4
seance 1,"Ba 7,5",1,9.124,1.15,0.21,3.105,4.869,79.83,-2.93,13.96,71.01,-5.78,35,,1.07,0.02,56.8
seance 1,"Ba 7,5",2,8.831,1.116,0.28,2.908,4.807,84.47,-2.28,18.88,69.76,-7.94,34.31,,2.23,0.01,58.4
seance 1,"Ba 7,5",3,9.147,1.097,0.22,3.018,5.032,86.62,-3.18,12.92,66.88,-10.71,32.88,,2.38,0.11,66.4
seance 1,Ba 10,1,12.188,1.381,0.24,3.809,6.998,81.8,-7.05,13.1,72.11,-7.14,44.75,,1.84,0.2,69.8
seance 1,Ba 10,2,12.188,1.381,0.24,3.809,6.998,81.8,-7.05,13.1,72.11,-7.14,44.75,,1.84,0.18,
seance 1,Ba 10,3,12.188,1.381,0.24,3.809,6.998,81.8,-7.05,13.1,72.11,-7.14,44.75,,2.56,0.11,
seance 1,YC,1,11.262,1.341,0.48,3.81,6.111,83.46,-3.99,14.63,79.97,1.71,107.84,,0.59,0.04,74.2
seance 1,YC,2,11.077,1.488,0.67,3.398,6.191,77.83,-3.17,20.17,81.76,-0.78,85.38,,0.37,0.03,62.2
seance 1,YC,3,11.078,1.636,0.53,3.483,5.959,78.12,-7.19,21.38,70.32,-5.05,76.3,,0.4,0.02,54.2
seance 1,WC,1,12.416,1.521,0.54,4.224,6.671,84.04,3.44,19.81,83.81,0.88,80.95,,0.79,0.03,64.8
